Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,86.080002,87.139999,86.070000,86.970001,82.264008,5169200
2022-01-04,87.870003,90.070000,87.699997,90.019997,85.148979,6044200
2022-01-05,90.199997,91.529999,89.400002,89.570000,84.723320,6833600
2022-01-06,90.400002,90.930000,89.610001,90.059998,85.186806,5559000
2022-01-07,90.260002,91.370003,90.089996,90.440002,85.546242,4835300
2022-01-10,90.680000,90.790001,89.239998,89.730003,84.874664,4884200
2022-01-11,89.739998,90.839996,89.269997,90.720001,85.811081,4529800
2022-01-12,91.000000,91.550003,90.839996,91.070000,86.142159,4613100
2022-01-13,91.379997,92.459999,90.959999,91.559998,86.605629,5026300
2022-01-14,91.050003,92.480003,90.720001,92.330002,87.333977,4987400
2022-01-18,91.330002,91.900002,90.279999,90.750000,85.839470,6010200
2022-01-19,90.730003,91.339996,89.580002,89.699997,84.846275,4887800
2022-01-20,89.959999,90.830002,88.250000,88.360001,83.578796,5354700
2022-01-21,88.519997,88.809998,86.820000,87.209999,82.491020,5846500
2022-01-24,85.769997,88.300003,84.800003,88.120003,83.351784,8849700
2022-01-25,85.000000,91.290001,85.000000,90.309998,85.423271,10377400
2022-01-26,89.980003,91.519997,87.470001,88.980003,84.165260,9829100
2022-01-27,89.919998,91.480003,88.400002,89.279999,84.449013,6998700
2022-01-28,88.970001,90.370003,87.480003,90.330002,85.442207,5877600
2022-01-31,89.610001,90.410004,89.010002,90.190002,85.309776,6419700
2022-02-01,90.099998,90.940002,89.269997,90.730003,85.820557,6558400
2022-02-02,90.300003,92.690002,90.250000,92.540001,87.532616,5978600
2022-02-03,92.150002,92.989998,91.620003,92.809998,87.787994,7171700
2022-02-04,92.360001,93.900002,92.110001,93.010002,87.977180,6321400
2022-02-07,93.459999,94.730003,93.010002,94.029999,88.941986,4932700
2022-02-08,93.830002,95.320000,92.870003,95.070000,89.925713,8173200
2022-02-09,96.029999,96.320000,95.480003,96.000000,90.805374,5394900
2022-02-10,95.320000,96.959999,94.550003,95.059998,89.916252,6534300
2022-02-11,95.250000,96.050003,94.080002,95.269997,90.114891,6532900
2022-02-14,95.510002,95.599998,92.889999,93.570000,88.506882,6419200
2022-02-15,93.589996,94.900002,93.570000,94.040001,88.951454,4616000
2022-02-16,94.010002,95.269997,93.919998,94.750000,89.623032,4560900
2022-02-17,93.970001,95.169998,93.440002,94.360001,89.254135,5753300
2022-02-18,94.139999,95.010002,92.989998,93.370003,88.317703,6544800
2022-02-22,93.620003,94.739998,92.790001,93.540001,88.478500,5862200
2022-02-23,94.300003,94.529999,92.050003,92.239998,87.248840,6903300
2022-02-24,93.000000,94.650002,89.309998,94.250000,89.645744,9698500
2022-02-25,94.389999,98.269997,94.199997,98.120003,93.326683,8692300
2022-02-28,99.019997,102.959999,98.400002,102.699997,97.682953,16726100
2022-03-01,102.769997,104.339996,102.180000,102.730003,97.711479,12340900
2022-03-02,102.199997,102.510002,99.779999,100.739998,95.818687,12834600
2022-03-03,101.059998,101.349998,98.629997,99.830002,94.953148,8613500
2022-03-04,99.949997,99.949997,98.230003,99.589996,94.724869,8627200
2022-03-07,101.290001,103.099998,98.120003,98.190002,93.393265,12759000
2022-03-08,98.010002,98.400002,94.690002,94.849998,90.216438,9410600
2022-03-09,95.250000,99.080002,95.250000,98.519997,93.707138,7100500
2022-03-10,98.169998,99.800003,97.660004,98.510002,93.697632,5118400
2022-03-11,98.779999,99.750000,96.800003,96.919998,92.185303,4354300
2022-03-14,97.169998,97.660004,95.410004,97.040001,92.299446,5581700
2022-03-15,97.879997,98.099998,96.570000,97.620003,92.851112,5417600
2022-03-16,97.040001,97.639999,94.070000,95.800003,91.120026,8813000
2022-03-17,96.599998,97.790001,95.830002,97.750000,92.974754,6537200
2022-03-18,98.000000,98.279999,96.330002,97.519997,92.755989,10438500
2022-03-21,97.839996,100.820000,97.800003,99.940002,95.057777,6673700
2022-03-22,99.800003,101.629997,98.910004,101.379997,96.427414,6048300
2022-03-23,101.160004,102.480003,101.110001,101.230003,96.284752,4471800
2022-03-24,101.660004,102.199997,101.129997,101.709999,96.741295,3894600
2022-03-25,102.000000,102.970001,101.919998,102.430000,97.426125,3521400
2022-03-28,101.669998,102.160004,100.919998,101.589996,96.627159,4053300
2022-03-29,100.849998,101.400002,99.370003,101.080002,96.142090,5038200
2022-03-30,101.629997,102.379997,99.760002,100.830002,95.904297,5168100
